Table S2: Log2 LFQ data of proteomes of liver and tumor cells. Related to Figure 2.					
					Group
P53634	Dipeptidyl peptidase 1	CTSC	P53634;H0YCY8;P53634-2;P53634-3	Dipeptidyl peptidase 1;Dipeptidyl peptidase 1 exclusion domain chain;Dipeptidyl peptidase 1 heavy chain;Dipeptidyl peptidase 1 light chain	CTSC
P53671-2	LIM domain kinase 2	LIMK2	P53671-2;P53671;B5MC51;P53671-3	LIM domain kinase 2	LIMK2
P53675	Clathrin heavy chain 2	CLTCL1	P53675;P53675-2;A0A087WX41	Clathrin heavy chain 2	CLTCL1
P53680	AP-2 complex subunit sigma	AP2S1	P53680;X6R390;P53680-2;M0R0N4;M0QYZ2;M0QZ21;M0R1S0	AP-2 complex subunit sigma	AP2S1
P53701	Cytochrome c-type heme lyase	HCCS	P53701	Cytochrome c-type heme lyase	HCCS
P53803	DNA-directed RNA polymerases I, II, and III subunit RPABC4	POLR2K	P53803;E5RGX2	DNA-directed RNA polymerases I, II, and III subunit RPABC4	POLR2K
P53985	Monocarboxylate transporter 1	SLC16A1	P53985;Q5T8R3;Q5T8R5;P53985-2;Q5T8R4	Monocarboxylate transporter 1	SLC16A1
P53990-2	IST1 homolog	IST1	P53990-2;P53990;P53990-4;P53990-5;H3BMU1;H3BUI0;P53990-3;H3BQF7;J3KR23;F5GXM3;H3BRE2;P53990-6;H3BPP6;H3BQ38;E9PF00	IST1 homolog	IST1
P53992	Protein transport protein Sec24C	SEC24C	P53992;G5EA31;P53992-2;A0A0U1RR49	Protein transport protein Sec24C	SEC24C
P53999	Activated RNA polymerase II transcriptional coactivator p15	SUB1	P53999;D6RC37;D6R970	Activated RNA polymerase II transcriptional coactivator p15	SUB1
P54098	DNA polymerase subunit gamma-1	POLG	P54098;A0A1B0GTU7;A0A1B0GVT8;A0A1B0GTQ6;H0YCV2;A0A1B0GW33;A0A0D9SFM1;H0YE43;H0YD36	DNA polymerase subunit gamma-1	POLG
P54136	Arginine--tRNA ligase, cytoplasmic	RARS	P54136;P54136-2;E5RJM9;E5RH09;E5RI24	Arginine--tRNA ligase, cytoplasmic	RARS
P54198-2	Protein HIRA	HIRA	P54198-2;P54198	Protein HIRA	HIRA
P54289	Voltage-dependent calcium channel subunit alpha-2/delta-1	CACNA2D1	P54289;P54289-4;P54289-5;P54289-3;P54289-2;E7ERK3;H0Y715	Voltage-dependent calcium channel subunit alpha-2/delta-1;Voltage-dependent calcium channel subunit alpha-2-1;Voltage-dependent calcium channel subunit delta-1	CACNA2D1
P54577	Tyrosine--tRNA ligase, cytoplasmic	YARS	P54577;A0A0C4DGZ5	Tyrosine--tRNA ligase, cytoplasmic;Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed;Tyrosine--tRNA ligase	YARS
P54578	Ubiquitin carboxyl-terminal hydrolase 14	USP14	P54578;A6NJA2;P54578-3;J3QQT6;J3KS55	Ubiquitin carboxyl-terminal hydrolase 14;Ubiquitin carboxyl-terminal hydrolase	USP14
P54578-2	Ubiquitin carboxyl-terminal hydrolase 14	USP14	P54578-2	Ubiquitin carboxyl-terminal hydrolase 14	USP14
P54619-2	5-AMP-activated protein kinase subunit gamma-1	PRKAG1	P54619-2;P54619;P54619-3;F8VYY9;H0YIC9;F8VVA3;F8VSL2;F8VZX1;F8VPF5;F8VRY2;F8VSH3;H0YHF8;B4DUK8;Q9UGI9-2;Q9UGI9;F8W046	5-AMP-activated protein kinase subunit gamma-1	PRKAG1
P54646	5-AMP-activated protein kinase catalytic subunit alpha-2	PRKAA2	P54646;A0A087WXX9	5-AMP-activated protein kinase catalytic subunit alpha-2	PRKAA2
P54652	Heat shock-related 70 kDa protein 2	HSPA2	P54652	Heat shock-related 70 kDa protein 2	HSPA2
P54687-4	Branched-chain-amino-acid aminotransferase, cytosolic	BCAT1	P54687-4;P54687;P54687-5;P54687-2;P54687-3;F5H2F2;A0A087WYF2	Branched-chain-amino-acid aminotransferase, cytosolic	BCAT1
P54707	Potassium-transporting ATPase alpha chain 2	ATP12A	P54707;P54707-2	Potassium-transporting ATPase alpha chain 2	ATP12A
P54709	Sodium/potassium-transporting ATPase subunit beta-3	ATP1B3	P54709;C9JA36;P54709-2;C9JXZ1;H7C547;F8WBY4;C9J6S2;H7C4L9	Sodium/potassium-transporting ATPase subunit beta-3	ATP1B3
P54725-3	UV excision repair protein RAD23 homolog A	RAD23A	P54725-3;P54725;P54725-2;A0A494C0B4;K7ENJ0;K7ELW1;K7EQ16;K7ELU6	UV excision repair protein RAD23 homolog A	RAD23A
P54727	UV excision repair protein RAD23 homolog B	RAD23B	P54727;P54727-2;Q5W0S5;Q5W0S4;H0Y579	UV excision repair protein RAD23 homolog B	RAD23B
P54750-3	Calcium/calmodulin-dependent 3,5-cyclic nucleotide phosphodiesterase 1A	PDE1A	P54750-3;P54750-8;P54750-9;P54750-2;P54750-6;P54750;P54750-7;P54750-4;P54750-5	Calcium/calmodulin-dependent 3,5-cyclic nucleotide phosphodiesterase 1A	PDE1A
Q96L35	Receptor protein-tyrosine kinase	EPHB4	Q96L35;P54760;P54760-2;P54760-4;P54760-3	Receptor protein-tyrosine kinase;Ephrin type-B receptor 4	EPHB4
P54802	Alpha-N-acetylglucosaminidase	NAGLU	P54802;K7ENX5;K7EQH9	Alpha-N-acetylglucosaminidase;Alpha-N-acetylglucosaminidase 82 kDa form;Alpha-N-acetylglucosaminidase 77 kDa form	NAGLU
P54803-5	Galactocerebrosidase	GALC	P54803-5;A0A087WX10;P54803-4;P54803;G3V4M2;G3V5E8;G3V255;P54803-3	Galactocerebrosidase	GALC
P54840	Glycogen [starch] synthase, liver	GYS2	P54840	Glycogen [starch] synthase, liver	GYS2
P54855	UDP-glucuronosyltransferase 2B15	UGT2B15	P54855	UDP-glucuronosyltransferase 2B15	UGT2B15
P54868	Hydroxymethylglutaryl-CoA synthase, mitochondrial	HMGCS2	P54868;P54868-2;P54868-3	Hydroxymethylglutaryl-CoA synthase, mitochondrial	HMGCS2
P54886-2	Delta-1-pyrroline-5-carboxylate synthase	ALDH18A1	P54886-2;P54886	Delta-1-pyrroline-5-carboxylate synthase;Glutamate 5-kinase;Gamma-glutamyl phosphate reductase	ALDH18A1
P54920	Alpha-soluble NSF attachment protein	NAPA	P54920;M0R0Y2;M0R058;M0R0I4;M0R213;M0R027;M0QZM9;M0QZN5;M0R031;A0A087WZQ7;Q9H115-3;Q9H115-2;Q9H115	Alpha-soluble NSF attachment protein	NAPA
P54922	[Protein ADP-ribosylarginine] hydrolase	ADPRH	P54922;C9JZW7	[Protein ADP-ribosylarginine] hydrolase	ADPRH
P55001-3	Microfibrillar-associated protein 2	MFAP2	P55001-3;P55001-2;P55001	Microfibrillar-associated protein 2	MFAP2
Q5STX8	Allograft inflammatory factor 1	AIF1	Q5STX8;P55008;P55008-2;P55008-3	Allograft inflammatory factor 1	AIF1
P55010	Eukaryotic translation initiation factor 5	EIF5	P55010;H0YLZ1;H0YN40;H0YMJ8;H0YM54;H0YK11;H0YK29	Eukaryotic translation initiation factor 5	EIF5
P55011-3	Solute carrier family 12 member 2	SLC12A2	P55011-3;P55011;G3XAL9;H0YMG9;Q8IUN5;H0YLJ2;A0A2R8Y6V7;Q13621-3;Q13621	Solute carrier family 12 member 2	SLC12A2
P55036	26S proteasome non-ATPase regulatory subunit 4	PSMD4	P55036;Q5VWC4;P55036-2;A6PVX3;H0Y3Y9;H0Y561	26S proteasome non-ATPase regulatory subunit 4	PSMD4
P55039	Developmentally-regulated GTP-binding protein 2	DRG2	P55039;A8MZF9;J3KRL5;J3QRI9;J3QL90;J3QR71;J3QKV7;J3QLF3	Developmentally-regulated GTP-binding protein 2	DRG2
P55056	Apolipoprotein C-IV	APOC4	P55056	Apolipoprotein C-IV	APOC4
P55058	Phospholipid transfer protein	PLTP	P55058;P55058-4;P55058-3;P55058-2	Phospholipid transfer protein	PLTP
P55060	Exportin-2	CSE1L	P55060;P55060-3;P55060-4;P55060-2	Exportin-2	CSE1L
P55061	Bax inhibitor 1	TMBIM6	P55061;P55061-2;F8VQW0;F8VX73;F8VPI1;F8W201;F8W086;F8VR05;F8VQQ5;F8VSI7;F8VVJ4;F8W1G3;F8W1V3;A0A0G2JKZ4;F8VY06	Bax inhibitor 1	TMBIM6
P55072	Transitional endoplasmic reticulum ATPase	VCP	P55072;C9IZA5;C9JUP7	Transitional endoplasmic reticulum ATPase	VCP
P55081	Microfibrillar-associated protein 1	MFAP1	P55081	Microfibrillar-associated protein 1	MFAP1
P55084	Trifunctional enzyme subunit beta, mitochondrial	HADHB	P55084;P55084-2;F5GZQ3;B5MD38;C9JEY0;C9JE81;C9K0M0	Trifunctional enzyme subunit beta, mitochondrial;3-ketoacyl-CoA thiolase	HADHB
P55103	Inhibin beta C chain	INHBC	P55103	Inhibin beta C chain	INHBC
P55157	Microsomal triglyceride transfer protein large subunit	MTTP	P55157;E9PBP6;P55157-2	Microsomal triglyceride transfer protein large subunit	MTTP
P55160	Nck-associated protein 1-like	NCKAP1L	P55160;P55160-2;F8W050	Nck-associated protein 1-like	NCKAP1L
P55196	Afadin	MLLT4	P55196;P55196-5;A8MQ02;J3KN01;Q5TIG5;P55196-6;H0Y8L4;F8W9I4;E9PFY5;H0Y9I0;H0YA98	Afadin	MLLT4
P55196-1	Afadin	MLLT4	P55196-1;P55196-2;H0Y7R8	Afadin	MLLT4
P55212	Caspase-6	CASP6	P55212;D6RHU3;D6RBM3;P55212-2	Caspase-6;Caspase-6 subunit p18;Caspase-6 subunit p11	CASP6
P55259-4	Pancreatic secretory granule membrane major glycoprotein GP2	GP2	P55259-4;P55259-2;P55259-3;P55259;I3L3I2	Pancreatic secretory granule membrane major glycoprotein GP2	GP2
P55263	Adenosine kinase	ADK	P55263;P55263-2;P55263-3;P55263-4	Adenosine kinase	ADK
P55265-5	Double-stranded RNA-specific adenosine deaminase	ADAR	P55265-5;P55265;P55265-4	Double-stranded RNA-specific adenosine deaminase	ADAR
P55268	Laminin subunit beta-2	LAMB2	P55268;F5H520;C9JMJ0;A4D0S4-2	Laminin subunit beta-2	LAMB2
P55287	Cadherin-11	CDH11	P55287;H3BUU9;P55287-2;H3BQH2	Cadherin-11	CDH11
P55290	Cadherin-13	CDH13	P55290;P55290-4;P55290-5;P55290-3;P55290-2	Cadherin-13	CDH13
P55318	Hepatocyte nuclear factor 3-gamma	FOXA3	P55318;P55317-2;P55317	Hepatocyte nuclear factor 3-gamma;Hepatocyte nuclear factor 3-alpha	FOXA3;FOXA1
P55327-2	Tumor protein D52	TPD52	P55327-2;P55327-4;P55327;P55327-7;P55327-5;P55327-6;P55327-3;E5RFR7;E5RK35	Tumor protein D52	TPD52
P55735	Protein SEC13 homolog	SEC13	P55735;P55735-2;P55735-4;P55735-3;A8MXL6;E7ERC8	Protein SEC13 homolog	SEC13
P55774	C-C motif chemokine 18	CCL18	P55774	C-C motif chemokine 18;CCL18(1-68);CCL18(3-69);CCL18(4-69)	CCL18
P55789	FAD-linked sulfhydryl oxidase ALR	GFER	P55789;H3BQQ4;P55789-2;H3BRD2;H3BRW3	FAD-linked sulfhydryl oxidase ALR;Sulfhydryl oxidase	GFER
P55795	Heterogeneous nuclear ribonucleoprotein H2	HNRNPH2	P55795	Heterogeneous nuclear ribonucleoprotein H2	HNRNPH2
P55809	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial	OXCT1	P55809;E9PDW2;P55809-2;Q9BYC2	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial	OXCT1
P55884	Eukaryotic translation initiation factor 3 subunit B	EIF3B	P55884;P55884-2;C9JZG1;C9JQN7	Eukaryotic translation initiation factor 3 subunit B	EIF3B
P55899	IgG receptor FcRn large subunit p51	FCGRT	P55899;M0R0H0;M0R0A9;M0R220;M0QYN1;M0QYN9;M0R0K7;M0QYM4;M0R2T3;M0R266	IgG receptor FcRn large subunit p51	FCGRT
P55957-2	BH3-interacting domain death agonist	BID	P55957-2;P55957;P55957-4	BH3-interacting domain death agonist;BH3-interacting domain death agonist p15;BH3-interacting domain death agonist p13;BH3-interacting domain death agonist p11	BID
P56134-3	ATP synthase subunit f, mitochondrial	ATP5J2	P56134-3;P56134;C9JJT5;C9JU26;P56134-4;P56134-2	ATP synthase subunit f, mitochondrial	ATP5J2;ATP5J2-PTCD1
P56181	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial	NDUFV3	P56181	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial	NDUFV3
P56181-2	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial	NDUFV3	P56181-2	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial	NDUFV3
P56182	Ribosomal RNA processing protein 1 homolog A	RRP1	P56182;D6RE82	Ribosomal RNA processing protein 1 homolog A	RRP1
P56192	Methionine--tRNA ligase, cytoplasmic	MARS	P56192;P56192-2;H0YIP0;H0YHV5;F5H2V6;H0YI94;H0YIC2;F8VS26;F8W0M7;F8W0S4;F8VZZ9;F8VPL7;H0YHL6;H0YI27	Methionine--tRNA ligase, cytoplasmic	MARS
P56199	Integrin alpha-1	ITGA1	P56199;A0A494C0F7	Integrin alpha-1	ITGA1
P56277	Cx9C motif-containing protein 4	CMC4	P56277	Cx9C motif-containing protein 4	CMC4
P56279	T-cell leukemia/lymphoma protein 1A	TCL1A	P56279;G3V4T4	T-cell leukemia/lymphoma protein 1A	TCL1A
P56377	AP-1 complex subunit sigma-2	AP1S2	P56377;H7BZG6;H0Y673;F6SFB5;A6NH01;P56377-2	AP-1 complex subunit sigma-2	AP1S2
Q5VTU8	ATP synthase subunit epsilon-like protein, mitochondrial	ATP5EP2	Q5VTU8;P56381	ATP synthase subunit epsilon-like protein, mitochondrial;ATP synthase subunit epsilon, mitochondrial	ATP5EP2;ATP5E
P56385	ATP synthase subunit e, mitochondrial	ATP5I	P56385	ATP synthase subunit e, mitochondrial	ATP5I
P56470	Galectin-4	LGALS4	P56470;M0QZ93	Galectin-4;Galectin	LGALS4
P56537	Eukaryotic translation initiation factor 6	EIF6	P56537;P56537-2;B7ZBH1;A0A0U1RQV5;F8WD20;A0A0B4J1Y7;F8WDS6	Eukaryotic translation initiation factor 6	EIF6
Q5SQP8	C-terminal-binding protein 2	CTBP2	Q5SQP8;P56545;P56545-3;P56545-2;A0A087WYL1	C-terminal-binding protein 2	CTBP2
P56589	Peroxisomal biogenesis factor 3	PEX3	P56589;Q7Z6V3	Peroxisomal biogenesis factor 3	PEX3
P56705-2	Protein Wnt-4	WNT4	P56705-2;P56705;B1AJZ6;H0Y663	Protein Wnt-4;Protein Wnt	WNT4
P56937-3	3-keto-steroid reductase	HSD17B7	P56937-3;P56937;Q5T248;Q5T249;F2Z2C2;V9GYN3	3-keto-steroid reductase	HSD17B7
P56962	Syntaxin-17	STX17	P56962;E9PIC2;E9PJV6;E9PJW1;E9PQU9	Syntaxin-17	STX17
P57088	Transmembrane protein 33	TMEM33	P57088;D6RAA6;H0Y8N0;J3KN43;D6RBY2	Transmembrane protein 33	TMEM33
P57105	Synaptojanin-2-binding protein	SYNJ2BP	P57105	Synaptojanin-2-binding protein	SYNJ2BP
P57735	Ras-related protein Rab-25	RAB25	P57735	Ras-related protein Rab-25	RAB25
P57740	Nuclear pore complex protein Nup107	NUP107	P57740;P57740-2;P57740-3;H0YG15;G3V1T4	Nuclear pore complex protein Nup107	NUP107
P57772	Selenocysteine-specific elongation factor	EEFSEC	P57772;P57772-2;C9J8T0	Selenocysteine-specific elongation factor	EEFSEC
P58004	Sestrin-2	SESN2	P58004;P58005-3;P58005	Sestrin-2	SESN2
P58166	Inhibin beta E chain	INHBE	P58166;F8VNP4	Inhibin beta E chain	INHBE
P58335-2	Anthrax toxin receptor 2	ANTXR2	P58335-2;P58335-4;P58335;P58335-3;J3KPY9;A0A0C4DG84	Anthrax toxin receptor 2	ANTXR2
P58546	Myotrophin	MTPN	P58546;C9JL85	Myotrophin	MTPN
P58557	Putative ribonuclease	YBEY	P58557;P58557-2;P58557-4;P58557-3	Putative ribonuclease	YBEY
P58876	Histone H2B type 1-D	HIST1H2BD	P58876;U3KQK0;Q99879;Q99877;Q93079;Q5QNW6;Q5QNW6-2;Q96A08	Histone H2B type 1-D;Histone H2B;Histone H2B type 1-M;Histone H2B type 1-N;Histone H2B type 1-H;Histone H2B type 2-F	HIST1H2BD;HIST1H2BN;HIST1H2BM;HIST1H2BH;HIST2H2BF
P59665	Neutrophil defensin 1	DEFA1	P59665	Neutrophil defensin 1;HP 1-56;Neutrophil defensin 2	DEFA1
P59768	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	P59768;G3V3J9;G3V2N0;G3V2C9;G3V415	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2;Guanine nucleotide-binding protein subunit gamma	GNG2
P60059	Protein transport protein Sec61 subunit gamma	SEC61G	P60059	Protein transport protein Sec61 subunit gamma	SEC61G
P60174-1	Triosephosphate isomerase	TPI1	P60174-1;P60174;P60174-4;U3KPZ0;U3KQF3;U3KPS5	Triosephosphate isomerase	TPI1
P60228	Eukaryotic translation initiation factor 3 subunit E	EIF3E	P60228;E5RGA2;E5RHS5;H0YBR5;E5RIT4;H0YAW4;E5RIP5;E5RJ25;E5RII3;H0YBP5	Eukaryotic translation initiation factor 3 subunit E	EIF3E
P60468	Protein transport protein Sec61 subunit beta	SEC61B	P60468;S4R3B5	Protein transport protein Sec61 subunit beta	SEC61B
P60484-2	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN	PTEN	P60484-2;P60484;A0A087X033;P60484-3	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN	PTEN
P60520	Gamma-aminobutyric acid receptor-associated protein-like 2	GABARAPL2	P60520;H3BSM5;H3BQ50;H3BU36	Gamma-aminobutyric acid receptor-associated protein-like 2	GABARAPL2
P60602	Reactive oxygen species modulator 1	ROMO1	P60602;P60602-2	Reactive oxygen species modulator 1	ROMO1
P60604	Ubiquitin-conjugating enzyme E2 G2	UBE2G2	P60604;P60604-2;F8WCB9;F8WDB1	Ubiquitin-conjugating enzyme E2 G2	UBE2G2
P60660	Myosin light polypeptide 6	MYL6	P60660;F8W1R7;J3KND3;G3V1V0;B7Z6Z4;G3V1Y7;F8VPF3;H0YI43;F8W1I5	Myosin light polypeptide 6	MYL6
P60660-2	Myosin light polypeptide 6	MYL6	P60660-2;G8JLA2;F8VZU9;F8W180;F8VXL3	Myosin light polypeptide 6	MYL6
P60709	Actin, cytoplasmic 1	ACTB	P60709;A0A2R8YFE2	Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed	ACTB
P60842	Eukaryotic initiation factor 4A-I	EIF4A1	P60842	Eukaryotic initiation factor 4A-I	EIF4A1
P60866	40S ribosomal protein S20	RPS20	P60866;P60866-2;E5RJX2;E5RIP1;G3XAN0	40S ribosomal protein S20	RPS20
P60880-2	Synaptosomal-associated protein 25	SNAP25	P60880-2;P60880;A0A0A0MSS0	Synaptosomal-associated protein 25	SNAP25
P60900	Proteasome subunit alpha type-6	PSMA6	P60900;G3V5Z7;G3V295;P60900-2;G3V3I1;P60900-3;G3V3U4;H0YJC4;G3V4S5;G3V2S7	Proteasome subunit alpha type-6;Proteasome subunit alpha type	PSMA6
P60903	Protein S100-A10	S100A10	P60903	Protein S100-A10	S100A10
P60953	Cell division control protein 42 homolog	CDC42	P60953;P60953-1;Q5JYX0;A0A494C1M1;A0A494BZX6;A0A3B3IRV0;F8WET9;B1AH79;G3V4H1;G3V476;P17081	Cell division control protein 42 homolog	CDC42
P60981	Destrin	DSTN	P60981;F6RFD5;P60981-2	Destrin	DSTN
P60983	Glia maturation factor beta	GMFB	P60983;G3V4P8	Glia maturation factor beta	GMFB
P61006	Ras-related protein Rab-8A	RAB8A	P61006;P61006-2;H0YLJ8;H0YL94;A0A2R8YDI9;M0R257;G3V196;A0A2R8YFB8;P59190-2;P59190;P20337	Ras-related protein Rab-8A	RAB8A
P61009	Signal peptidase complex subunit 3	SPCS3	P61009	Signal peptidase complex subunit 3	SPCS3
P61011	Signal recognition particle 54 kDa protein	SRP54	P61011;P61011-2;G3V4F7;G3V480;G3V346;A0A0D9SFN7;G3V3L9	Signal recognition particle 54 kDa protein	SRP54
P61018-2	Ras-related protein Rab-4B	RAB4B	P61018-2;P61018;M0R0X1	Ras-related protein Rab-4B	RAB4B
P61019	Ras-related protein Rab-2A	RAB2A	P61019;E9PKL7;P61019-2;H7C125;H0YD31;E9PE37;H0YDL5;A0A1D5RMT4	Ras-related protein Rab-2A	RAB2A
P61020	Ras-related protein Rab-5B	RAB5B	P61020;P61020-2;F8VUA5	Ras-related protein Rab-5B	RAB5B
P61026	Ras-related protein Rab-10	RAB10	P61026	Ras-related protein Rab-10	RAB10
P61073	C-X-C chemokine receptor type 4	CXCR4	P61073;P61073-2	C-X-C chemokine receptor type 4	CXCR4
P61081	NEDD8-conjugating enzyme Ubc12	UBE2M	P61081;M0QYI6	NEDD8-conjugating enzyme Ubc12	UBE2M
P61086	Ubiquitin-conjugating enzyme E2 K	UBE2K	P61086;D6RDM7;P61086-2;P61086-3;D6RFX1	Ubiquitin-conjugating enzyme E2 K	UBE2K
P61088	Ubiquitin-conjugating enzyme E2 N	UBE2N	P61088;F8VQQ8;F8VSD4;F8VV71;Q5JXB2;F8VZ29	Ubiquitin-conjugating enzyme E2 N;Putative ubiquitin-conjugating enzyme E2 N-like	UBE2N;UBE2NL
P61106	Ras-related protein Rab-14	RAB14	P61106;X6RFL8	Ras-related protein Rab-14	RAB14
P61158	Actin-related protein 3	ACTR3	P61158;B4DXW1;F8WDR7;A0A0A0MTI9;H7C4J1;C9IZN3;Q9C0K3;F8WEW2;F8WE84	Actin-related protein 3	ACTR3
P61160	Actin-related protein 2	ACTR2	P61160;P61160-2;F5H6T1;A0A1B0GWD0;A0A1B0GWH0	Actin-related protein 2	ACTR2
P61163	Alpha-centractin	ACTR1A	P61163;R4GMT0;A0A1B0GVS3	Alpha-centractin	ACTR1A
P61201	COP9 signalosome complex subunit 2	COPS2	P61201;P61201-2;B4DIH5;H0YKU5;H0YM03;H0YMC2	COP9 signalosome complex subunit 2	COPS2
P61221	ATP-binding cassette sub-family E member 1	ABCE1	P61221;D6R9I9;D6RGF4;H0Y990	ATP-binding cassette sub-family E member 1	ABCE1
P61224	Ras-related protein Rap-1b	RAP1B	P61224;P61224-3;F5H7Y6;E7ESV4;A6NIZ1;P61224-2;F5GX62;P61224-4;F5H004;F5H6R7;F5GYB5;F5H4H0;F5H0B7;F5H500;F5H491;F5GWU8;F5H077;F5GYH7;F8WBC0	Ras-related protein Rap-1b;Ras-related protein Rap-1b-like protein	RAP1B
P61225	Ras-related protein Rap-2b	RAP2B	P61225	Ras-related protein Rap-2b	RAP2B
P61244-2	Protein max	MAX	P61244-2;P61244;Q6V3B1;G3V563;G3V2R5;P61244-3;P61244-4;G3V5L1;G3V570;A0A494C130;P61244-6;P61244-5	Protein max	MAX
P61247	40S ribosomal protein S3a	RPS3A	P61247;D6RG13;D6RAT0;E9PFI5;H0Y8L7;D6RB09;H0Y9Y4;D6RAS7;D6RED7;D6RI02;D6RGE0	40S ribosomal protein S3a	RPS3A
P61254	60S ribosomal protein L26	RPL26	P61254;J3QRI7;J3QQQ9;J3QQV1;J3QRC4;J3KSS0;J3KS10	60S ribosomal protein L26	RPL26
P61289	Proteasome activator complex subunit 3	PSME3	P61289;P61289-3;P61289-2;B3KQ25;K7ESG5;K9J957;A0A087WTV2;K7ENH2;K7EMD0;K7EPX6;K7EKR3;B7Z8D3	Proteasome activator complex subunit 3	PSME3
P61313	60S ribosomal protein L15	RPL15	P61313;E7EQV9;A0A2R8YEM3;E7ENU7;E7EX53;A0A2R8Y738;P61313-2;E7ERA2	60S ribosomal protein L15;Ribosomal protein L15	RPL15
P61353	60S ribosomal protein L27	RPL27	P61353;K7ELC7;K7EQQ9;K7ERY7	60S ribosomal protein L27	RPL27
P61457	Pterin-4-alpha-carbinolamine dehydratase	PCBD1	P61457	Pterin-4-alpha-carbinolamine dehydratase	PCBD1
P61513	60S ribosomal protein L37a	RPL37A	P61513;C9J4Z3;Q6P4E4;E9PEL3;M0R0A1;M0R2L6;G5E9R3	60S ribosomal protein L37a	RPL37A
P61586	Transforming protein RhoA	RHOA	P61586;C9JNR4;C9JX21;C9JRM1	Transforming protein RhoA	RHOA
P61599	N-alpha-acetyltransferase 20	NAA20	P61599;A8MZB2;P61599-2	N-alpha-acetyltransferase 20	NAA20
P61601	Neurocalcin-delta	NCALD	P61601;E5RGA9;E5RIZ1;E5RHC8;E5RIG4;E5RIA5;E5RI95;A0A1B0GXG3;E5RHE8;E5RI78;E5RJJ6;E5RGZ0;E5RK89;E5RFL9;E5RJT1;E5RIX3	Neurocalcin-delta	NCALD
P61604	10 kDa heat shock protein, mitochondrial	HSPE1	P61604;B8ZZL8;B8ZZ54	10 kDa heat shock protein, mitochondrial	HSPE1
P61626	Lysozyme C	LYZ	P61626;F8VV32;A0A0B4J259	Lysozyme C;Lysozyme	LYZ
P61758	Prefoldin subunit 3	VBP1	P61758;P61758-2	Prefoldin subunit 3	VBP1
P61769	Beta-2-microglobulin	B2M	P61769	Beta-2-microglobulin;Beta-2-microglobulin form pI 5.3	B2M
P61812	Transforming growth factor beta-2	TGFB2	P61812;P61812-2	Transforming growth factor beta-2;Latency-associated peptide	TGFB2
P61952	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-11	GNG11	P61952	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-11	GNG11
P61956-2	Small ubiquitin-related modifier 2	SUMO2	P61956-2;P61956	Small ubiquitin-related modifier 2	SUMO2
P61960	Ubiquitin-fold modifier 1	UFM1	P61960;H0Y614	Ubiquitin-fold modifier 1	UFM1
P61962	DDB1- and CUL4-associated factor 7	DCAF7	P61962;A0A087WWI6;P61962-2	DDB1- and CUL4-associated factor 7	DCAF7
P61964	WD repeat-containing protein 5	WDR5	P61964;V9GZ59;V9GYQ5;Q86VZ2	WD repeat-containing protein 5	WDR5
P61970	Nuclear transport factor 2	NUTF2	P61970;H3BRV9	Nuclear transport factor 2	NUTF2
P61978-2	Heterogeneous nuclear ribonucleoprotein K	HNRNPK	P61978-2;P61978;S4R457;S4R359	Heterogeneous nuclear ribonucleoprotein K	HNRNPK
P61978-3	Heterogeneous nuclear ribonucleoprotein K	HNRNPK	P61978-3;Q5T6W2	Heterogeneous nuclear ribonucleoprotein K	HNRNPK
P61981	14-3-3 protein gamma	YWHAG	P61981	14-3-3 protein gamma;14-3-3 protein gamma, N-terminally processed	YWHAG
P62070	Ras-related protein R-Ras2	RRAS2	P62070;P62070-4;P62070-3;E9PK85;P62070-2;E9PQ87	Ras-related protein R-Ras2	RRAS2
P62072	Mitochondrial import inner membrane translocase subunit Tim10	TIMM10	P62072	Mitochondrial import inner membrane translocase subunit Tim10	TIMM10
P62081	40S ribosomal protein S7	RPS7	P62081	40S ribosomal protein S7	RPS7
P62136	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit	PPP1CA	P62136;P62136-2;P62136-3;E9PMD7;F5H1L6;F5H037	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit;Serine/threonine-protein phosphatase	PPP1CA
P62140	Serine/threonine-protein phosphatase PP1-beta catalytic subunit	PPP1CB	P62140;E7ETD8;C9JP48;C9J9S3	Serine/threonine-protein phosphatase PP1-beta catalytic subunit;Serine/threonine-protein phosphatase	PPP1CB
P62191	26S protease regulatory subunit 4	PSMC1	P62191;P62191-2;G3V4X1	26S protease regulatory subunit 4	PSMC1
